Ngành,Trường,Mã trường,Năm,Chỉ tiêu THPT (Ước tính),market_trend
kế toán,Đại học Nguyễn Tất Thành,NTT,2022,113-138,0.66
kế toán,Đại học Nguyễn Tất Thành,NTT,2023,127-156,0.67
kế toán,Đại học Nguyễn Tất Thành,NTT,2024,112-137,0.68
kế toán,Đại học Nguyễn Tất Thành,NTT,2025,136-167,0.68
luật,Đại học Luật TP.HCM,HUL,2020,77-94,0.7
luật,Đại học Luật TP.HCM,HUL,2021,78-95,0.71
luật,Đại học Luật TP.HCM,HUL,2022,87-106,0.71
luật,Đại học Luật TP.HCM,HUL,2023,86-105,0.72
luật,Đại học Luật TP.HCM,HUL,2024,79-96,0.73
luật,Đại học Luật TP.HCM,HUL,2025,91-112,0.73
luật,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,140-171,0.7
luật,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,134-163,0.71
luật,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,146-179,0.71
luật,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,132-161,0.72
luật,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,132-161,0.73
luật,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,151-184,0.73
luật,Đại học Văn Lang,VLU,2020,109-134,0.7
luật,Đại học Văn Lang,VLU,2021,125-152,0.71
luật,Đại học Văn Lang,VLU,2022,128-157,0.71
luật,Đại học Văn Lang,VLU,2023,121-148,0.72
luật,Đại học Văn Lang,VLU,2024,123-150,0.73
luật,Đại học Văn Lang,VLU,2025,122-149,0.73
luật,Đại học Hutech,HTU,2020,93-114,0.7
luật,Đại học Hutech,HTU,2021,99-122,0.71
luật,Đại học Hutech,HTU,2022,100-123,0.71
luật,Đại học Hutech,HTU,2023,114-139,0.72
luật,Đại học Hutech,HTU,2024,102-125,0.73
luật,Đại học Hutech,HTU,2025,100-123,0.73
luật,Đại học Nguyễn Tất Thành,NTT,2020,171-210,0.7
luật,Đại học Nguyễn Tất Thành,NTT,2021,166-203,0.71
luật,Đại học Nguyễn Tất Thành,NTT,2022,174-213,0.71
luật,Đại học Nguyễn Tất Thành,NTT,2023,181-222,0.72
luật,Đại học Nguyễn Tất Thành,NTT,2024,176-215,0.73
luật,Đại học Nguyễn Tất Thành,NTT,2025,181-222,0.73
luật kinh tế,Đại học Luật TP.HCM,HUL,2020,91-112,0.72
luật kinh tế,Đại học Luật TP.HCM,HUL,2021,79-96,0.73
luật kinh tế,Đại học Luật TP.HCM,HUL,2022,85-104,0.73
luật kinh tế,Đại học Luật TP.HCM,HUL,2023,86-105,0.74
luật kinh tế,Đại học Luật TP.HCM,HUL,2024,99-121,0.75
luật kinh tế,Đại học Luật TP.HCM,HUL,2025,86-105,0.76
luật kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,79-96,0.72
luật kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,86-105,0.73
luật kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,82-101,0.73
luật kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,81-100,0.74
luật kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,89-108,0.75
luật kinh tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,82-101,0.76
luật kinh tế,Đại học Văn Lang,VLU,2020,108-132,0.72
luật kinh tế,Đại học Văn Lang,VLU,2021,117-143,0.73
luật kinh tế,Đại học Văn Lang,VLU,2022,107-130,0.73
luật kinh tế,Đại học Văn Lang,VLU,2023,109-134,0.74
luật kinh tế,Đại học Văn Lang,VLU,2024,116-141,0.75
luật kinh tế,Đại học Văn Lang,VLU,2025,127-156,0.76
luật kinh tế,Đại học Hutech,HTU,2020,166-203,0.72
luật kinh tế,Đại học Hutech,HTU,2021,151-184,0.73
luật kinh tế,Đại học Hutech,HTU,2022,170-207,0.73
luật kinh tế,Đại học Hutech,HTU,2023,155-190,0.74
luật kinh tế,Đại học Hutech,HTU,2024,161-196,0.75
luật kinh tế,Đại học Hutech,HTU,2025,180-221,0.76
luật kinh tế,Đại học Nguyễn Tất Thành,NTT,2020,188-229,0.72
luật kinh tế,Đại học Nguyễn Tất Thành,NTT,2021,179-218,0.73
luật kinh tế,Đại học Nguyễn Tất Thành,NTT,2022,174-213,0.73
luật kinh tế,Đại học Nguyễn Tất Thành,NTT,2023,186-227,0.74
luật kinh tế,Đại học Nguyễn Tất Thành,NTT,2024,198-242,0.75
luật kinh tế,Đại học Nguyễn Tất Thành,NTT,2025,205-250,0.76
luật quốc tế,Đại học Luật TP.HCM,HUL,2020,81-100,0.68
luật quốc tế,Đại học Luật TP.HCM,HUL,2021,78-95,0.69
luật quốc tế,Đại học Luật TP.HCM,HUL,2022,87-106,0.69
luật quốc tế,Đại học Luật TP.HCM,HUL,2023,80-97,0.7
luật quốc tế,Đại học Luật TP.HCM,HUL,2024,91-112,0.71
luật quốc tế,Đại học Luật TP.HCM,HUL,2025,90-111,0.71
luật quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,129-158,0.68
luật quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,127-156,0.69
luật quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,125-152,0.69
luật quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,142-173,0.7
luật quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,148-181,0.71
luật quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,129-158,0.71
luật quốc tế,Đại học Văn Lang,VLU,2020,105-128,0.68
luật quốc tế,Đại học Văn Lang,VLU,2021,123-150,0.69
luật quốc tế,Đại học Văn Lang,VLU,2022,116-141,0.69
luật quốc tế,Đại học Văn Lang,VLU,2023,135-165,0.7
luật quốc tế,Đại học Văn Lang,VLU,2024,116-141,0.71
luật quốc tế,Đại học Văn Lang,VLU,2025,133-162,0.71
luật quốc tế,Đại học Hutech,HTU,2020,181-222,0.68
luật quốc tế,Đại học Hutech,HTU,2021,180-221,0.69
luật quốc tế,Đại học Hutech,HTU,2022,165-202,0.69
luật quốc tế,Đại học Hutech,HTU,2023,173-212,0.7
luật quốc tế,Đại học Hutech,HTU,2024,184-225,0.71
luật quốc tế,Đại học Hutech,HTU,2025,185-226,0.71
luật quốc tế,Đại học Nguyễn Tất Thành,NTT,2020,101-124,0.68
luật quốc tế,Đại học Nguyễn Tất Thành,NTT,2021,95-116,0.69
luật quốc tế,Đại học Nguyễn Tất Thành,NTT,2022,95-116,0.69
luật quốc tế,Đại học Nguyễn Tất Thành,NTT,2023,104-127,0.7
luật quốc tế,Đại học Nguyễn Tất Thành,NTT,2024,118-145,0.71
luật quốc tế,Đại học Nguyễn Tất Thành,NTT,2025,121-148,0.71
nghệ thuật,Đại học Mỹ thuật TP.HCM,MTA,2020,63-78,0.65
nghệ thuật,Đại học Mỹ thuật TP.HCM,MTA,2021,60-73,0.66
nghệ thuật,Đại học Mỹ thuật TP.HCM,MTA,2022,64-79,0.66
nghệ thuật,Đại học Mỹ thuật TP.HCM,MTA,2023,71-86,0.67
nghệ thuật,Đại học Mỹ thuật TP.HCM,MTA,2024,75-92,0.68
nghệ thuật,Đại học Mỹ thuật TP.HCM,MTA,2025,67-82,0.68
nghệ thuật,Đại học Văn Lang,VLU,2020,99-121,0.65
nghệ thuật,Đại học Văn Lang,VLU,2021,111-136,0.66
nghệ thuật,Đại học Văn Lang,VLU,2022,106-129,0.66
nghệ thuật,Đại học Văn Lang,VLU,2023,115-140,0.67
nghệ thuật,Đại học Văn Lang,VLU,2024,108-132,0.68
nghệ thuật,Đại học Văn Lang,VLU,2025,117-144,0.68
nghệ thuật,Đại học Hoa Sen,HSU,2020,136-167,0.65
nghệ thuật,Đại học Hoa Sen,HSU,2021,147-180,0.66
nghệ thuật,Đại học Hoa Sen,HSU,2022,139-170,0.66
nghệ thuật,Đại học Hoa Sen,HSU,2023,127-156,0.67
nghệ thuật,Đại học Hoa Sen,HSU,2024,144-177,0.68
nghệ thuật,Đại học Hoa Sen,HSU,2025,145-178,0.68
nghệ thuật,Đại học Hutech,HTU,2020,185-226,0.65
nghệ thuật,Đại học Hutech,HTU,2021,162-198,0.66
nghệ thuật,Đại học Hutech,HTU,2022,160-195,0.66
nghệ thuật,Đại học Hutech,HTU,2023,196-239,0.67
nghệ thuật,Đại học Hutech,HTU,2024,172-211,0.68
nghệ thuật,Đại học Hutech,HTU,2025,199-244,0.68
nghệ thuật,Đại học Nguyễn Tất Thành,NTT,2020,121-148,0.65
nghệ thuật,Đại học Nguyễn Tất Thành,NTT,2021,125-152,0.66
nghệ thuật,Đại học Nguyễn Tất Thành,NTT,2022,117-144,0.66
nghệ thuật,Đại học Nguyễn Tất Thành,NTT,2023,114-139,0.67
nghệ thuật,Đại học Nguyễn Tất Thành,NTT,2024,125-152,0.68
nghệ thuật,Đại học Nguyễn Tất Thành,NTT,2025,129-158,0.68
âm nhạc,Nhạc viện TP.HCM,XXX,2020,80-97,0.65
âm nhạc,Nhạc viện TP.HCM,XXX,2021,74-91,0.66
âm nhạc,Nhạc viện TP.HCM,XXX,2022,73-90,0.66
âm nhạc,Nhạc viện TP.HCM,XXX,2023,78-95,0.67
âm nhạc,Nhạc viện TP.HCM,XXX,2024,86-105,0.68
âm nhạc,Nhạc viện TP.HCM,XXX,2025,74-91,0.68
âm nhạc,Đại học Văn Lang,VLU,2020,134-163,0.65
âm nhạc,Đại học Văn Lang,VLU,2021,134-163,0.66
âm nhạc,Đại học Văn Lang,VLU,2022,135-166,0.66
âm nhạc,Đại học Văn Lang,VLU,2023,126-154,0.67
âm nhạc,Đại học Văn Lang,VLU,2024,144-176,0.68
âm nhạc,Đại học Văn Lang,VLU,2025,135-165,0.68
âm nhạc,Đại học Hoa Sen,HSU,2020,113-138,0.65
âm nhạc,Đại học Hoa Sen,HSU,2021,110-135,0.66
âm nhạc,Đại học Hoa Sen,HSU,2022,117-143,0.66
âm nhạc,Đại học Hoa Sen,HSU,2023,116-141,0.67
âm nhạc,Đại học Hoa Sen,HSU,2024,142-173,0.68
âm nhạc,Đại học Hoa Sen,HSU,2025,129-158,0.68
âm nhạc,Đại học Hutech,HTU,2020,91-112,0.65
âm nhạc,Đại học Hutech,HTU,2021,89-108,0.66
âm nhạc,Đại học Hutech,HTU,2022,90-110,0.66
âm nhạc,Đại học Hutech,HTU,2023,102-125,0.67
âm nhạc,Đại học Hutech,HTU,2024,90-110,0.68
âm nhạc,Đại học Hutech,HTU,2025,91-112,0.68
âm nhạc,Đại học Nguyễn Tất Thành,NTT,2020,98-119,0.65
âm nhạc,Đại học Nguyễn Tất Thành,NTT,2021,114-139,0.66
âm nhạc,Đại học Nguyễn Tất Thành,NTT,2022,117-143,0.66
âm nhạc,Đại học Nguyễn Tất Thành,NTT,2023,114-139,0.67
âm nhạc,Đại học Nguyễn Tất Thành,NTT,2024,111-136,0.68
âm nhạc,Đại học Nguyễn Tất Thành,NTT,2025,107-130,0.68
quan hệ quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,78-95,0.65
quan hệ quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,73-90,0.66
quan hệ quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,73-90,0.66
quan hệ quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,76-93,0.67
quan hệ quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,80-97,0.68
quan hệ quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,81-99,0.68
quan hệ quốc tế,Đại học Văn Lang,VLU,2020,141-172,0.65
quan hệ quốc tế,Đại học Văn Lang,VLU,2021,122-149,0.66
quan hệ quốc tế,Đại học Văn Lang,VLU,2022,144-177,0.66
quan hệ quốc tế,Đại học Văn Lang,VLU,2023,138-169,0.67
quan hệ quốc tế,Đại học Văn Lang,VLU,2024,135-166,0.68
quan hệ quốc tế,Đại học Văn Lang,VLU,2025,159-194,0.68
quan hệ quốc tế,Đại học Hoa Sen,HSU,2020,141-172,0.65
quan hệ quốc tế,Đại học Hoa Sen,HSU,2021,124-151,0.66
quan hệ quốc tế,Đại học Hoa Sen,HSU,2022,129-158,0.66
quan hệ quốc tế,Đại học Hoa Sen,HSU,2023,154-189,0.67
quan hệ quốc tế,Đại học Hoa Sen,HSU,2024,149-182,0.68
quan hệ quốc tế,Đại học Hoa Sen,HSU,2025,147-180,0.68
quan hệ quốc tế,Đại học Hutech,HTU,2020,107-130,0.65
quan hệ quốc tế,Đại học Hutech,HTU,2021,124-151,0.66
quan hệ quốc tế,Đại học Hutech,HTU,2022,117-144,0.66
quan hệ quốc tế,Đại học Hutech,HTU,2023,130-159,0.67
quan hệ quốc tế,Đại học Hutech,HTU,2024,122-149,0.68
quan hệ quốc tế,Đại học Hutech,HTU,2025,119-146,0.68
quan hệ quốc tế,Đại học Nguyễn Tất Thành,NTT,2020,132-161,0.65
quan hệ quốc tế,Đại học Nguyễn Tất Thành,NTT,2021,122-149,0.66
quan hệ quốc tế,Đại học Nguyễn Tất Thành,NTT,2022,128-157,0.66
quan hệ quốc tế,Đại học Nguyễn Tất Thành,NTT,2023,144-176,0.67
quan hệ quốc tế,Đại học Nguyễn Tất Thành,NTT,2024,153-187,0.68
quan hệ quốc tế,Đại học Nguyễn Tất Thành,NTT,2025,153-187,0.68
ngôn ngữ pháp,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2020,70-85,0.58
ngôn ngữ pháp,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2021,72-88,0.59
ngôn ngữ pháp,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2022,72-88,0.59
ngôn ngữ pháp,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2023,76-93,0.6
ngôn ngữ pháp,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2024,74-91,0.6
ngôn ngữ pháp,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2025,78-95,0.61
ngôn ngữ pháp,Đại học Sư phạm TP.HCM,SPS,2020,114-139,0.58
ngôn ngữ pháp,Đại học Sư phạm TP.HCM,SPS,2021,113-138,0.59
ngôn ngữ pháp,Đại học Sư phạm TP.HCM,SPS,2022,115-140,0.59
ngôn ngữ pháp,Đại học Sư phạm TP.HCM,SPS,2023,124-151,0.6
ngôn ngữ pháp,Đại học Sư phạm TP.HCM,SPS,2024,117-144,0.6
ngôn ngữ pháp,Đại học Sư phạm TP.HCM,SPS,2025,124-151,0.61
ngôn ngữ pháp,Đại học Văn Lang,VLU,2020,111-136,0.58
ngôn ngữ pháp,Đại học Văn Lang,VLU,2021,119-146,0.59
ngôn ngữ pháp,Đại học Văn Lang,VLU,2022,114-139,0.59
ngôn ngữ pháp,Đại học Văn Lang,VLU,2023,114-139,0.6
ngôn ngữ pháp,Đại học Văn Lang,VLU,2024,111-136,0.6
ngôn ngữ pháp,Đại học Văn Lang,VLU,2025,122-149,0.61
ngôn ngữ pháp,Đại học Hutech,HTU,2020,157-192,0.58
ngôn ngữ pháp,Đại học Hutech,HTU,2021,160-195,0.59
ngôn ngữ pháp,Đại học Hutech,HTU,2022,173-212,0.59
ngôn ngữ pháp,Đại học Hutech,HTU,2023,170-207,0.6
ngôn ngữ pháp,Đại học Hutech,HTU,2024,164-201,0.6
ngôn ngữ pháp,Đại học Hutech,HTU,2025,163-200,0.61
ngôn ngữ pháp,Đại học Nguyễn Tất Thành,NTT,2020,166-203,0.58
ngôn ngữ pháp,Đại học Nguyễn Tất Thành,NTT,2021,156-191,0.59
ngôn ngữ pháp,Đại học Nguyễn Tất Thành,NTT,2022,161-196,0.59
ngôn ngữ pháp,Đại học Nguyễn Tất Thành,NTT,2023,185-226,0.6
ngôn ngữ pháp,Đại học Nguyễn Tất Thành,NTT,2024,174-213,0.6
ngôn ngữ pháp,Đại học Nguyễn Tất Thành,NTT,2025,204-249,0.61
ngôn ngữ nhật,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2020,72-88,0.67
ngôn ngữ nhật,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2021,67-82,0.68
ngôn ngữ nhật,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2022,71-86,0.68
ngôn ngữ nhật,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2023,76-93,0.69
ngôn ngữ nhật,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2024,80-97,0.7
ngôn ngữ nhật,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2025,81-99,0.7
ngôn ngữ nhật,Đại học Sư phạm TP.HCM,SPS,2020,85-104,0.67
ngôn ngữ nhật,Đại học Sư phạm TP.HCM,SPS,2021,84-103,0.68
ngôn ngữ nhật,Đại học Sư phạm TP.HCM,SPS,2022,90-111,0.68
ngôn ngữ nhật,Đại học Sư phạm TP.HCM,SPS,2023,88-107,0.69
ngôn ngữ nhật,Đại học Sư phạm TP.HCM,SPS,2024,105-128,0.7
ngôn ngữ nhật,Đại học Sư phạm TP.HCM,SPS,2025,96-117,0.7
ngôn ngữ nhật,Đại học Văn Lang,VLU,2020,121-148,0.67
ngôn ngữ nhật,Đại học Văn Lang,VLU,2021,113-138,0.68
ngôn ngữ nhật,Đại học Văn Lang,VLU,2022,108-133,0.68
ngôn ngữ nhật,Đại học Văn Lang,VLU,2023,123-150,0.69
ngôn ngữ nhật,Đại học Văn Lang,VLU,2024,113-138,0.7
ngôn ngữ nhật,Đại học Văn Lang,VLU,2025,121-148,0.7
ngôn ngữ nhật,Đại học Hutech,HTU,2020,171-210,0.67
ngôn ngữ nhật,Đại học Hutech,HTU,2021,156-191,0.68
ngôn ngữ nhật,Đại học Hutech,HTU,2022,162-199,0.68
ngôn ngữ nhật,Đại học Hutech,HTU,2023,181-222,0.69
ngôn ngữ nhật,Đại học Hutech,HTU,2024,187-228,0.7
ngôn ngữ nhật,Đại học Hutech,HTU,2025,161-196,0.7
ngôn ngữ nhật,Đại học Nguyễn Tất Thành,NTT,2020,126-154,0.67
ngôn ngữ nhật,Đại học Nguyễn Tất Thành,NTT,2021,134-163,0.68
ngôn ngữ nhật,Đại học Nguyễn Tất Thành,NTT,2022,125-152,0.68
ngôn ngữ nhật,Đại học Nguyễn Tất Thành,NTT,2023,141-172,0.69
ngôn ngữ nhật,Đại học Nguyễn Tất Thành,NTT,2024,141-172,0.7
ngôn ngữ nhật,Đại học Nguyễn Tất Thành,NTT,2025,150-183,0.7
ngôn ngữ trung quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2020,70-85,0.68
ngôn ngữ trung quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2021,72-88,0.69
ngôn ngữ trung quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2022,82-101,0.69
ngôn ngữ trung quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2023,74-91,0.7
ngôn ngữ trung quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2024,82-101,0.71
ngôn ngữ trung quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2025,77-94,0.71
ngôn ngữ trung quốc,Đại học Sư phạm TP.HCM,SPS,2020,89-108,0.68
ngôn ngữ trung quốc,Đại học Sư phạm TP.HCM,SPS,2021,78-95,0.69
ngôn ngữ trung quốc,Đại học Sư phạm TP.HCM,SPS,2022,93-114,0.69
ngôn ngữ trung quốc,Đại học Sư phạm TP.HCM,SPS,2023,95-116,0.7
ngôn ngữ trung quốc,Đại học Sư phạm TP.HCM,SPS,2024,96-117,0.71
ngôn ngữ trung quốc,Đại học Sư phạm TP.HCM,SPS,2025,87-106,0.71
ngôn ngữ trung quốc,Đại học Văn Lang,VLU,2020,106-129,0.68
ngôn ngữ trung quốc,Đại học Văn Lang,VLU,2021,114-139,0.69
ngôn ngữ trung quốc,Đại học Văn Lang,VLU,2022,117-144,0.69
ngôn ngữ trung quốc,Đại học Văn Lang,VLU,2023,127-156,0.7
ngôn ngữ trung quốc,Đại học Văn Lang,VLU,2024,119-146,0.71
ngôn ngữ trung quốc,Đại học Văn Lang,VLU,2025,136-167,0.71
ngôn ngữ trung quốc,Đại học Hutech,HTU,2020,91-112,0.68
ngôn ngữ trung quốc,Đại học Hutech,HTU,2021,92-113,0.69
ngôn ngữ trung quốc,Đại học Hutech,HTU,2022,92-113,0.69
ngôn ngữ trung quốc,Đại học Hutech,HTU,2023,94-115,0.7
ngôn ngữ trung quốc,Đại học Hutech,HTU,2024,109-134,0.71
ngôn ngữ trung quốc,Đại học Hutech,HTU,2025,94-115,0.71
ngôn ngữ trung quốc,Đại học Nguyễn Tất Thành,NTT,2020,181-222,0.68
ngôn ngữ trung quốc,Đại học Nguyễn Tất Thành,NTT,2021,186-227,0.69
ngôn ngữ trung quốc,Đại học Nguyễn Tất Thành,NTT,2022,196-239,0.69
ngôn ngữ trung quốc,Đại học Nguyễn Tất Thành,NTT,2023,207-253,0.7
ngôn ngữ trung quốc,Đại học Nguyễn Tất Thành,NTT,2024,176-215,0.71
ngôn ngữ trung quốc,Đại học Nguyễn Tất Thành,NTT,2025,182-223,0.71
ngôn ngữ anh,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2020,88-107,0.85
ngôn ngữ anh,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2021,81-99,0.86
ngôn ngữ anh,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2022,90-110,0.87
ngôn ngữ anh,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2023,92-113,0.88
ngôn ngữ anh,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2024,99-122,0.88
ngôn ngữ anh,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2025,101-124,0.89
ngôn ngữ anh,Đại học Sư phạm TP.HCM,SPS,2020,126-154,0.85
ngôn ngữ anh,Đại học Sư phạm TP.HCM,SPS,2021,134-163,0.86
ngôn ngữ anh,Đại học Sư phạm TP.HCM,SPS,2022,118-145,0.87
ngôn ngữ anh,Đại học Sư phạm TP.HCM,SPS,2023,122-149,0.88
ngôn ngữ anh,Đại học Sư phạm TP.HCM,SPS,2024,132-161,0.88
ngôn ngữ anh,Đại học Sư phạm TP.HCM,SPS,2025,137-168,0.89
ngôn ngữ anh,Đại học Mở TP.HCM,OUM,2020,120-147,0.85
ngôn ngữ anh,Đại học Mở TP.HCM,OUM,2021,120-147,0.86
ngôn ngữ anh,Đại học Mở TP.HCM,OUM,2022,128-157,0.87
ngôn ngữ anh,Đại học Mở TP.HCM,OUM,2023,121-148,0.88
ngôn ngữ anh,Đại học Mở TP.HCM,OUM,2024,113-138,0.88
ngôn ngữ anh,Đại học Mở TP.HCM,OUM,2025,133-162,0.89
ngôn ngữ anh,Đại học Nguyễn Tất Thành,NTT,2020,180-221,0.85
ngôn ngữ anh,Đại học Nguyễn Tất Thành,NTT,2021,173-212,0.86
ngôn ngữ anh,Đại học Nguyễn Tất Thành,NTT,2022,188-229,0.87
ngôn ngữ anh,Đại học Nguyễn Tất Thành,NTT,2023,175-214,0.88
ngôn ngữ anh,Đại học Nguyễn Tất Thành,NTT,2024,182-223,0.88
ngôn ngữ anh,Đại học Nguyễn Tất Thành,NTT,2025,189-231,0.89
ngôn ngữ hàn quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2020,90-111,0.7
ngôn ngữ hàn quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2021,85-104,0.71
ngôn ngữ hàn quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2022,99-121,0.71
ngôn ngữ hàn quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2023,90-110,0.72
ngôn ngữ hàn quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2024,99-122,0.73
ngôn ngữ hàn quốc,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,QSX,2025,99-122,0.73
ngôn ngữ hàn quốc,Đại học Sư phạm TP.HCM,SPS,2020,123-150,0.7
ngôn ngữ hàn quốc,Đại học Sư phạm TP.HCM,SPS,2021,125-152,0.71
ngôn ngữ hàn quốc,Đại học Sư phạm TP.HCM,SPS,2022,139-170,0.71
ngôn ngữ hàn quốc,Đại học Sư phạm TP.HCM,SPS,2023,128-157,0.72
ngôn ngữ hàn quốc,Đại học Sư phạm TP.HCM,SPS,2024,126-155,0.73
ngôn ngữ hàn quốc,Đại học Sư phạm TP.HCM,SPS,2025,135-166,0.73
ngôn ngữ hàn quốc,Đại học Văn Lang,VLU,2020,106-129,0.7
ngôn ngữ hàn quốc,Đại học Văn Lang,VLU,2021,117-143,0.71
ngôn ngữ hàn quốc,Đại học Văn Lang,VLU,2022,125-152,0.71
ngôn ngữ hàn quốc,Đại học Văn Lang,VLU,2023,128-157,0.72
ngôn ngữ hàn quốc,Đại học Văn Lang,VLU,2024,117-143,0.73
ngôn ngữ hàn quốc,Đại học Văn Lang,VLU,2025,125-152,0.73
ngôn ngữ hàn quốc,Đại học Hutech,HTU,2020,145-178,0.7
ngôn ngữ hàn quốc,Đại học Hutech,HTU,2021,144-177,0.71
ngôn ngữ hàn quốc,Đại học Hutech,HTU,2022,134-163,0.71
ngôn ngữ hàn quốc,Đại học Hutech,HTU,2023,148-181,0.72
ngôn ngữ hàn quốc,Đại học Hutech,HTU,2024,150-183,0.73
ngôn ngữ hàn quốc,Đại học Hutech,HTU,2025,145-178,0.73
ngôn ngữ hàn quốc,Đại học Nguyễn Tất Thành,NTT,2020,92-113,0.7
ngôn ngữ hàn quốc,Đại học Nguyễn Tất Thành,NTT,2021,105-128,0.71
ngôn ngữ hàn quốc,Đại học Nguyễn Tất Thành,NTT,2022,104-127,0.71
ngôn ngữ hàn quốc,Đại học Nguyễn Tất Thành,NTT,2023,99-121,0.72
ngôn ngữ hàn quốc,Đại học Nguyễn Tất Thành,NTT,2024,100-123,0.73
ngôn ngữ hàn quốc,Đại học Nguyễn Tất Thành,NTT,2025,109-134,0.73
logistics và quản lý chuỗi cung ứng,Đại học Kinh tế TP.HCM,UEH,2020,89-108,0.8
logistics và quản lý chuỗi cung ứng,Đại học Kinh tế TP.HCM,UEH,2021,91-112,0.81
logistics và quản lý chuỗi cung ứng,Đại học Kinh tế TP.HCM,UEH,2022,90-111,0.82
logistics và quản lý chuỗi cung ứng,Đại học Kinh tế TP.HCM,UEH,2023,88-107,0.82
logistics và quản lý chuỗi cung ứng,Đại học Kinh tế TP.HCM,UEH,2024,96-117,0.83
logistics và quản lý chuỗi cung ứng,Đại học Kinh tế TP.HCM,UEH,2025,107-130,0.84
logistics và quản lý chuỗi cung ứng,Đại học Giao thông Vận tải TP.HCM,GTV,2020,95-116,0.8
logistics và quản lý chuỗi cung ứng,Đại học Giao thông Vận tải TP.HCM,GTV,2021,99-121,0.81
